id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
172386,583,607,6823,311,8556,6512,3799,904,4998,14422,3534,11085,7359,2451,4679
12,3037,528,1500,8077,5197,2245,691,547,2090,637,217,3012,11983,10661,3104
269385,595,114,3237,457,2829,3228,3361,64,5634,741,523,25,1759,930,2110
359871,9476,5193,3958,1299,4224,8339,2266,14148,4893,1985,11148,7869,488,8779,4416
310100,21,8547,1459,2890,5634,4290,13380,5281,5108,4581,1700,1456,824,581,11994
12493,5003,4,5400,3464,86,2065,17,659,234,125,12362,16044,4046,9680,12890
163412,3179,8047,1747,1128,11802,1682,8808,4937,3984,7907,859,14782,1356,1895,11080
102680,5524,6940,956,12218,11461,4001,11916,7892,9773,2444,13033,11232,2765,1120,10661
36218,123,182,15890,9576,15839,15751,15750,687,166,9839,5638,9158,14422,5138,2334
4098,306,1756,1717,219,614,7665,9996,1347,7415,7619,5922,6617,2145,774,2862
144733,15966,8809,45,287,8940,619,440,128,836,159,16018,381,7139,2106,207
218417,1258,309,2281,88,238,1958,3921,14624,15841,7359,3996,5232,5111,5503,1594
180263,1647,798,114,59,1233,523,5234,13380,10824,3121,7869,297,1269,5220,4340
43015,15904,3467,1793,13314,2410,6983,11137,1064,1254,1628,1271,1323,11986,10718,30
205896,5157,2883,55,5670,278,10871,13152,237,9179,15951,1801,4316,4893,200,3832
227935,11085,4601,6670,5373,6807,5503,1232,2039,3864,12500,3206,10262,10456,1697,9179
175640,660,60,46,4229,73,7239,864,280,1222,2139,492,12030,6276,1779,4464
418059,1738,1538,3826,8409,1373,6,2920,11067,181,8010,105,6450,2234,8313,3501
196340,3642,4248,764,6478,4863,2231,7591,119,1074,15079,52,16018,155,3407,2993
233371,78,9110,85,5078,3203,6875,14586,10290,10771,13179,1145,4777,10969,8822,9576
198928,1963,158,1,940,560,509,61,3384,4091,50,434,1133,4279,2818,738
175155,639,9179,904,3367,2377,10706,2255,2963,1671,1776,537,8691,705,11148,6491
178900,2282,467,260,2333,108,5739,6461,5336,8061,1053,9776,1530,4050,5397,7670
410201,2512,31,16007,98,1373,1579,8154,998,15949,2640,261,10331,1135,353,4961
254640,295,7670,6461,11975,4014,3791,8061,5336,108,4050,2196,9628,11429,12197,2543
172287,11211,10546,2949,10036,6891,1287,10444,6596,9683,662,7051,10931,6444,12390,13724
266524,1365,2770,8672,10075,9695,886,15961,52,147,9339,5355,3592,377,4939,1882
132531,82,825,14820,365,1139,842,5625,2685,5957,1668,1162,9510,861,10969,1975
220877,1031,1743,11200,7077,95,1588,13874,1027,1243,2291,4308,14133,11688,279,7626
30549,1,149,1963,3384,61,50,560,509,2818,940,1133,738,4091,1768,434
118048,3513,4022,1435,2414,530,2318,11554,440,4872,12984,5071,11202,836,2075,1598
325494,5862,1405,595,8547,6000,1959,2382,3121,1773,523,6895,543,5550,2185,1852
304783,2592,196,9947,10858,5524,2224,4148,740,1308,8500,7052,5742,4170,7353,3950
263918,442,15953,2034,6603,11076,4668,9,4390,4643,1675,4295,18,579,2592,30
262712,4438,1946,8154,10132,5637,3838,2304,1782,12766,5990,11310,12166,10828,12360,15818
281259,7385,1675,3257,11080,15861,251,5219,3290,1143,4937,4009,3891,2549,546,13213
189932,15981,6633,9839,5183,2514,11085,1210,6959,9179,15890,12660,6690,5638,991,5824
147020,241,15996,15837,281,687,307,15917,8321,2699,182,5604,15890,6875,227,9839
463,11136,780,2238,11439,2731,5182,2241,10132,8973,1416,7076,772,3019,4453,1555
274364,291,3554,3399,6747,5849,982,10832,10976,12618,10096,1132,4393,780,2817,13300
161970,5655,16007,9165,2315,14488,2918,10889,14320,13636,12380,3972,11939,8322,773,13192
271324,15915,1812,1666,11067,216,1373,353,1437,15893,13365,8114,3511,8424,5203,181
396790,35,6450,526,8401,1109,20,16006,5639,3660,2259,277,3826,2301,1097,6884
14996,15967,4508,7298,1471,248,15776,459,2589,102,9909,775,2156,1081,222,2613
268864,2200,538,838,3537,5773,11594,7816,6436,4011,10709,6566,5304,1559,2179,9440
