id,Categories
155426,Post-Napoleonic
155426,Puzzle
242302,Dice
242302,Science Fiction
242302,Space Exploration
282524,Horror
282524,Miniatures
282524,Movies / TV / Radio theme
316377,Ancient
316377,Card Game
316377,City Building
316377,Civilization
316377,Economic
118,Card Game
118,Economic
128882,Bluffing
128882,Card Game
128882,Deduction
128882,Fantasy
128882,Medieval
128882,Negotiation
128882,Party Game
128882,Spies / Secret Agents
17133,Trains
17133,Transportation
17133,Video Game Theme
300531,Card Game
300531,Exploration
300531,Prehistoric
287954,Abstract Strategy
287954,Puzzle
31627,Trains
103343,Bluffing
103343,Fantasy
103343,Negotiation
103343,Novel-based
103343,Political
103343,Wargame
70149,City Building
70149,Economic
70149,Industry / Manufacturing
70149,Medieval
70149,Religious
70149,Territory Building
188,Abstract Strategy
391163,Animals
391163,Card Game
391163,Educational
391163,Environmental
374173,Card Game
374173,Fighting
374173,Movies / TV / Radio theme
374173,Science Fiction
14105,Ancient
14105,Wargame
171131,Deduction
171131,Fighting
171131,Modern Warfare
171131,Nautical
171131,Real-time
123260,City Building
123260,Economic
822,Medieval
822,Territory Building
104006,Economic
104006,Farming
104006,Medieval
148228,Card Game
148228,Economic
148228,Renaissance
299659,Ancient
299659,City Building
299659,Civilization
299659,Economic
299659,Territory Building
256680,Adventure
256680,Electronic
256680,Fantasy
256680,Fighting
150376,Bluffing
150376,Deduction
150376,Horror
150376,Zombies
285967,Ancient
285967,Fantasy
285967,Fighting
285967,Miniatures
285967,Mythology
241451,Card Game
241451,Fantasy
241451,Science Fiction
215,Card Game
293014,Card Game
293014,Fantasy
293014,Mythology
182631,Card Game
182631,Fighting
182631,Science Fiction
269207,Card Game
269207,Dice
269207,Medieval
332686,Economic
332686,Educational
332686,Negotiation
332686,Political
7854,Abstract Strategy
91,Wargame
91,World War I
306735,Dice
306735,Science Fiction
245638,Dice
245638,Renaissance
9209,Trains
126042,Card Game
126042,Civilization
126042,Economic
195421,Adventure
195421,Exploration
195421,Fantasy
195421,Fighting
283155,Animals
283155,Puzzle
295486,City Building
54998,Ancient
54998,City Building
54998,Civilization
54998,Fighting
54998,Miniatures
54998,Mythology
54998,Nautical
165722,Action / Dexterity
165722,Real-time
21050,Wargame
21050,World War II
188834,Bluffing
188834,Card Game
188834,Deduction
188834,Humor
188834,Party Game
188834,Political
188834,Print & Play
188834,Spies / Secret Agents
221194,Animals
221194,Economic
221194,Science Fiction
260605,Animals
260605,Arabian
260605,Dice
260605,Racing
146886,Economic
146886,Farming
224037,Card Game
224037,Deduction
224037,Spies / Secret Agents
224037,Word Game
223040,Card Game
223040,Fantasy
129437,Card Game
129437,Comic Book / Strip
232832,Card Game
232832,Economic
232832,Fantasy
158600,Card Game
158600,Medieval
274637,Card Game
274637,Fantasy
274637,Fighting
274637,Mythology
274637,Novel-based
156129,Bluffing
156129,Deduction
156129,Murder / Mystery
156129,Party Game
318977,Deduction
318977,Murder / Mystery
192291,Card Game
192291,Party Game
176189,Adventure
176189,Fantasy
176189,Fighting
176189,Horror
176189,Medieval
176189,Miniatures
176189,Zombies
199478,Racing
199478,Sports
555,City Building
555,Renaissance
3,Abstract Strategy
3,Medieval
176494,Economic
176494,Territory Building
169426,Dice
169426,Fantasy
169426,Medieval
19857,Ancient
19857,Card Game
19857,City Building
19857,Economic
224783,Exploration
224783,Fantasy
300322,Animals
300322,Economic
300322,Farming
300322,Industry / Manufacturing
300322,Post-Napoleonic
232405,Adventure
232405,American West
232405,Miniatures
228341,Dice
228341,Science Fiction
228341,Space Exploration
109276,Economic
109276,Industry / Manufacturing
198994,Card Game
198994,Fantasy
198994,Fighting
194655,Abstract Strategy
194655,Ancient
194655,Mythology
286096,Civilization
9216,Economic
9216,Farming
9216,Nautical
9216,Renaissance
421,Economic
421,Trains
421,Transportation
20551,Economic
20551,Medieval
20551,Territory Building
311193,Card Game
311193,City Building
311193,Economic
311193,Industry / Manufacturing
311193,Napoleonic
311193,Video Game Theme
31481,Real-time
31481,Science Fiction
31481,Space Exploration
31481,Transportation
156546,Card Game
156546,Humor
156546,Mature / Adult
156546,Party Game
156546,Print & Play
128621,Economic
128621,Farming
27708,Political
305096,Adventure
305096,Prehistoric
305096,Territory Building
223321,Deduction
223321,Murder / Mystery
140620,American West
140620,Exploration
329839,Party Game
329839,Word Game
284653,Comic Book / Strip
284653,Deduction
284653,Spies / Secret Agents
239188,Adventure
239188,Deduction
239188,Murder / Mystery
323612,Fantasy
323612,Mythology
127060,Dice
297562,Ancient
297562,Fighting
297562,Miniatures
297562,Mythology
297562,Wargame
291572,Economic
291572,Fantasy
291572,Negotiation
291572,Political
291572,Territory Building
291572,Wargame
204583,City Building
204583,Medieval
204583,Territory Building
150145,Card Game
150145,Nautical
150145,Pirates
351913,Renaissance
298047,Card Game
298047,Comic Book / Strip
298047,Fighting
298047,Miniatures
27833,Economic
27833,Trains
27833,Transportation
230253,Card Game
230253,Fighting
230253,Science Fiction
760,Ancient
760,Card Game
270633,Card Game
270633,Fantasy
270633,Science Fiction
2655,Abstract Strategy
2655,Animals
144344,Age of Reason
144344,Economic
302723,Adventure
302723,Exploration
302723,Fantasy
302723,Nautical
302723,Pirates
302723,Travel
295895,Card Game
295895,Economic
295895,Industry / Manufacturing
146508,Adventure
146508,Puzzle
146508,Science Fiction
246784,Deduction
206718,Fantasy
139976,Fantasy
139976,Fighting
139976,Horror
139976,Miniatures
244271,Card Game
244271,Dice
244271,Fantasy
244271,Fighting
367220,Animals
367220,Card Game
367220,Nautical
356123,Deduction
356123,Math
356123,Spies / Secret Agents
284189,Ancient
284189,City Building
284189,Economic
385761,Card Game
385761,Fantasy
108745,Card Game
108745,Fantasy
92828,Card Game
92828,Humor
92828,Party Game
400314,Animals
400314,Science Fiction
155068,Adventure
155068,Exploration
155068,Fantasy
155068,Fighting
155068,Miniatures
342070,Dice
342070,Fighting
342070,Miniatures
342070,Racing
295374,Dice
295374,Racing
295374,Sports
46213,Humor
46213,Party Game
46213,Real-time
257499,Adventure
257499,Fighting
257499,Horror
257499,Novel-based
19777,Economic
19777,Industry / Manufacturing
19777,Transportation
176734,Civilization
176734,Dice
176734,Economic
176734,Environmental
176734,Industry / Manufacturing
160477,Abstract Strategy
24181,Economic
24181,Nautical
24181,Political
66589,Economic
66589,Exploration
66589,Nautical
66589,Renaissance
277085,Card Game
277085,Deduction
277085,Renaissance
50,Card Game
50,Exploration
50,Math
318184,Ancient
318184,Card Game
318184,Civilization
97207,Animals
97207,Fantasy
97207,Humor
331106,Adventure
331106,Fantasy
331106,Fighting
331106,Miniatures
331106,Novel-based
331106,Travel
331106,Video Game Theme
172,Card Game
172,Economic
262211,Exploration
262211,Fantasy
262211,Fighting
262211,Video Game Theme
38453,Electronic
38453,Real-time
38453,Science Fiction
38453,Space Exploration
155873,Economic
